x_metres,y_metres,z_metres
2.393581121711958470e+00,-1.871807808420899333e+00,7.350519180297851562e+00
2.713101663305741873e+00,-1.871807808420899333e+00,7.350519180297851562e+00
3.097146073228029373e+00,-1.911633501305324279e+00,7.506913185119628906e+00
3.352142746493308234e+00,-1.871807808420899333e+00,7.350519180297851562e+00
3.831300780928220018e+00,-1.953190735495467401e+00,7.670106887817382812e+00
3.991183829680875039e+00,-1.871807808420899333e+00,7.350519180297851562e+00
4.702586637688837889e+00,-2.041972176718519272e+00,8.018748283386230469e+00
5.051154505014362250e+00,-2.041972176718519272e+00,8.018748283386230469e+00
5.399722372339887499e+00,-2.041972176718519272e+00,8.018748283386230469e+00
-7.433087002417585687e+00,-2.328430900240674006e+00,1.102577877044677734e+01
-7.417393389655878799e+00,-2.483659667202894106e+00,1.176083087921142578e+01
-6.474525377636235923e+00,-2.328430900240674006e+00,1.102577877044677734e+01
-5.995244565245561041e+00,-2.328430900240674006e+00,1.102577877044677734e+01
-5.348813552966742435e+00,-2.257872479656505948e+00,1.069166469573974609e+01
-5.036682940464211278e+00,-2.328430900240674006e+00,1.102577877044677734e+01
-4.704414972788062421e+00,-2.403541509475036975e+00,1.138144874572753906e+01
-4.349996140609108330e+00,-2.483659667202894106e+00,1.176083087921142578e+01
-4.265292482933136675e+00,-2.759621830070155379e+00,1.306758975982666016e+01
-5.253995268886756165e+00,-3.921567831984293040e+00,1.856973266601562500e+01
-2.913411066039837127e+00,-2.569302965108137382e+00,1.216637611389160156e+01
-2.160998066120161543e+00,-2.328430900240674006e+00,1.102577877044677734e+01
-1.630756190946806683e+00,-2.257872479656505948e+00,1.069166469573974609e+01
-1.202436441338811779e+00,-2.328430900240674006e+00,1.102577877044677734e+01
-5.509757441006694068e-01,-1.774042676972793497e+00,8.400593757629394531e+00
-1.734220910710637109e-01,-1.655773077902338963e+00,7.840553760528564453e+00
1.569373305554753462e-01,-1.552287266827116152e+00,7.350519180297851562e+00
4.764578721492586655e-01,-1.552287266827116152e+00,7.350519180297851562e+00
7.491561480362638470e-01,-1.460976239284489164e+00,6.918135643005371094e+00
1.115498955336825304e+00,-1.552287266827116152e+00,7.350519180297851562e+00
1.435019496930608485e+00,-1.552287266827116152e+00,7.350519180297851562e+00
